127.0.0.1 - - [23/Mar/2023:14:09:19 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [23/Mar/2023:14:09:19 +0900] "GET /jqpro/0323/dataType.html HTTP/1.1" 200 3798
0:0:0:0:0:0:0:1 - - [23/Mar/2023:14:09:19 +0900] "GET /jqpro/js/jquery-3.6.4.min.js HTTP/1.1" 200 89795
0:0:0:0:0:0:0:1 - - [23/Mar/2023:14:09:19 +0900] "GET /jqpro/css/mystyle.css HTTP/1.1" 200 898
0:0:0:0:0:0:0:1 - - [23/Mar/2023:14:09:19 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [23/Mar/2023:14:09:51 +0900] "GET /jqpro/0323/dataType.html HTTP/1.1" 200 1770
0:0:0:0:0:0:0:1 - - [23/Mar/2023:14:09:51 +0900] "GET /jqpro/css/mystyle.css HTTP/1.1" 200 898
0:0:0:0:0:0:0:1 - - [23/Mar/2023:14:09:51 +0900] "GET /jqpro/js/jquery-3.6.4.min.js HTTP/1.1" 200 89795
0:0:0:0:0:0:0:1 - - [23/Mar/2023:14:09:51 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [23/Mar/2023:14:09:52 +0900] "GET /jqpro/0323/dataType.html HTTP/1.1" 200 1770
0:0:0:0:0:0:0:1 - - [23/Mar/2023:14:09:52 +0900] "GET /jqpro/css/mystyle.css HTTP/1.1" 200 898
0:0:0:0:0:0:0:1 - - [23/Mar/2023:14:09:52 +0900] "GET /jqpro/js/jquery-3.6.4.min.js HTTP/1.1" 200 89795
0:0:0:0:0:0:0:1 - - [23/Mar/2023:14:09:52 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [23/Mar/2023:14:09:53 +0900] "GET /jqpro/0323/dataType.html HTTP/1.1" 200 1770
0:0:0:0:0:0:0:1 - - [23/Mar/2023:14:09:53 +0900] "GET /jqpro/css/mystyle.css HTTP/1.1" 200 898
0:0:0:0:0:0:0:1 - - [23/Mar/2023:14:09:53 +0900] "GET /jqpro/js/jquery-3.6.4.min.js HTTP/1.1" 200 89795
0:0:0:0:0:0:0:1 - - [23/Mar/2023:14:09:53 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [23/Mar/2023:14:09:53 +0900] "GET /jqpro/0323/dataType.html HTTP/1.1" 200 1770
0:0:0:0:0:0:0:1 - - [23/Mar/2023:14:09:53 +0900] "GET /jqpro/css/mystyle.css HTTP/1.1" 200 898
0:0:0:0:0:0:0:1 - - [23/Mar/2023:14:09:53 +0900] "GET /jqpro/js/jquery-3.6.4.min.js HTTP/1.1" 200 89795
0:0:0:0:0:0:0:1 - - [23/Mar/2023:14:09:53 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [23/Mar/2023:14:09:54 +0900] "GET /jqpro/0323/dataType.html HTTP/1.1" 200 1770
0:0:0:0:0:0:0:1 - - [23/Mar/2023:14:09:54 +0900] "GET /jqpro/css/mystyle.css HTTP/1.1" 200 898
0:0:0:0:0:0:0:1 - - [23/Mar/2023:14:09:54 +0900] "GET /jqpro/js/jquery-3.6.4.min.js HTTP/1.1" 200 89795
0:0:0:0:0:0:0:1 - - [23/Mar/2023:14:09:54 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [23/Mar/2023:14:09:54 +0900] "GET /jqpro/0323/dataType.html HTTP/1.1" 200 1770
0:0:0:0:0:0:0:1 - - [23/Mar/2023:14:09:54 +0900] "GET /jqpro/css/mystyle.css HTTP/1.1" 200 898
